url,label
https://www.google.com,safe
https://www.amazon.com/orders,safe
https://www.sbi.co.in/portal/web/personal-banking,safe
https://www.irctc.co.in/nget/train-search,safe
https://www.microsoft.com/en-us/microsoft-365,safe
https://www.hdfc.com/personal-banking,safe
https://mail.google.com/mail/u/0,safe
https://www.flipkart.com/account,safe
http://paypa1-secure.xyz/login?verify=true,malicious
http://sbi-verify.net/otp-confirm,malicious
http://hdfc-secure-login.tk/verify-kyc,malicious
http://icici-verify.net/tamil-login,malicious
http://lottery-winner-india.com/claim,malicious
http://axis-kyc.xyz/telugu-verify,malicious
http://192.168.1.1/bank-login,malicious
http://secure-paypal-update.000webhostapp.com/login,malicious
http://amazon-prize-winner.tk/redeem?id=12345,malicious
http://bit.ly/3xPhish1ng,suspicious
http://tinyurl.com/bank-verify,suspicious
http://login-hdfc-bank.blogspot.com,suspicious
http://sbi.co.in.account-verify.net/login,suspicious
http://update-your-kyc-now.com/icici,suspicious
http://free-recharge-jio.xyz/claim,suspicious
http://india-gov-scheme-2024.net/apply,suspicious
